id,Join_Count,Status,Score,Match_type,Side,X,Y,Match_addr,ARC_Street,Entry_no,Owner_name,street,city,state,zip,Entry_no_1,License_Nu,Status_1,License_Ty,Orig_Iss_D,Expir_Date,Census_tra,Business_N,Mailing_Ad,Geo_Code,Tract2010,coords.x1,coords.x2
1485,1,M,100,A,R,-122.39345839,37.78560867,"525 Harrison St, San Francisco, CA, 94105",525 HARRISON ST,1923,MIRROR CORPORATION,525 HARRISON ST,San Francisco,CA,94105,1923,322597,ACTIVE,48,1996/09/27,2013/02/28,Census Tract: 0615.00,FACTORY 525,NA,3800,61500,1833232.66757977,644365.509582129
5581,1,M,100,A,R,-122.42194155,37.74230497,"3391 Mission St, San Francisco, CA, 94110",3391 MISSION ST,2508,"OSORIO, JOAQUIN",3391 MISSION ST,San Francisco,CA,94110,2508,320794,ACTIVE,20,1996/09/30,2013/08/31,Census Tract: 0253.00,LA MORENA,NA,3800,25300,1830625.80742819,639611.782822977
164,1,M,100,A,L,-122.41892945,37.75228287,"3318 24th St, San Francisco, CA, 94110",3318 24TH ST,224,"FADDOUL, AWAD S JR",3318 24TH ST,San Francisco,CA,94110,224,324528,ACTIVE,41,1996/10/17,2014/01/31,Census Tract: 0209.00,CAFE LA BOHEME,NA,3800,20900,1830913.96630876,640712.997101511
1878,1,M,100,A,L,-122.4134197,37.80441666,"2257 Mason St, San Francisco, CA, 94133",2257 MASON ST,2419,TAQUERIAS DAVID VALLE INC,2257 MASON ST,San Francisco,CA,94133,2419,323731,ACTIVE,41,1996/10/25,2014/01/31,Census Tract: 0101.00,TAQUERIA SAN JOSE 3,"2715 MARTINEZ DR BURLINGAME, CA 94010",3800,10100,1831517.95254525,646487.871081592
1951,1,M,100,A,L,-122.41850003,37.75175053,"2830 Mission St, San Francisco, CA, 94110",2830 MISSION ST,2509,TAQUERIAS DAVID VALLE INC,2830 MISSION ST,San Francisco,CA,94110,2509,323732,ACTIVE,41,1996/10/25,2013/02/28,Census Tract: 0209.00,TAQUERIA SAN JOSE 1,NA,3800,20900,1830950.79071822,640653.341556853
2197,1,M,100,A,L,-122.40076092,37.79774964,"290 Pacific Ave, San Francisco, CA, 94111",290 PACIFIC AVE,2824,GLOBE EATS INC,290 PACIFIC AVE,San Francisco,CA,94111,2824,323707,ACTIVE,47,1996/11/05,2013/10/31,Census Tract: 0105.00,NA,NA,3800,10500,1832616.95189138,645725.718079405
2105,1,M,100,A,L,-122.39908372,37.78707039,"110 Natoma St, San Francisco, CA, 94105",110 NATOMA ST,2699,HENRY & DIANA CHUNG CO INC,110 NATOMA ST,San Francisco,CA,94105,2699,323345,ACTIVE,41,1996/11/07,2013/10/31,Census Tract: 0615.00,HENRYS HUNAN RESTAURANT,NA,3800,61500,1832740.96596605,644537.20092664
3311,1,M,100,A,R,-122.43447903,37.79245562,"2498 Fillmore St, San Francisco, CA, 94115",2498 FILLMORE ST,1393,"PRONGOS, PANAGIOTIS DEMETRE",2498 FILLMORE ST,San Francisco,CA,94115,1393,324217,ACTIVE,21,1996/11/12,2013/10/31,Census Tract: 0135.00,MAYFLOWER MARKET,NA,3800,13500,1829636.19634411,645198.793849089
70,1,M,100,A,R,-122.39808475,37.76499989,"1435 17th St, San Francisco, CA, 94107",1435 17TH ST,89,"NASRAH, NASSER ISSA",1435 17TH ST,San Francisco,CA,94107,89,325543,ACTIVE,41,1996/11/14,2013/04/30,Census Tract: 0227.02,JBS PLACE,NA,3800,22702,1832779.19887821,642086.566229234
2592,1,M,100,A,R,-122.48750569,37.74247729,"2001 Taraval St, San Francisco, CA, 94116",2001 TARAVAL ST,3345,"LEE, DONG JOO",2001 TARAVAL ST,San Francisco,CA,94116,3345,324575,ACTIVE,41,1996/11/20,2013/10/31,Census Tract: 0330.00,HAN BAT KOREAN RESTAURANT,NA,3800,33000,1824849.44174818,639751.42020256
22310,1,M,100,A,R,-122.47422154,37.71706613,"111 Cambon Dr, San Francisco, CA, 94132",111 CAMBON DR,900,"JWEINAT, JOHN",111 CAMBON DR,San Francisco,CA,94132,900,324131,ACTIVE,21,1996/11/20,2013/10/31,Census Tract: 0332.03,PARK PLAZA FINE FOODS,"988 SUTTER ST SAN FRANCISCO, CA 94109",3800,33203,1825960.3438378,636906.642485635
3191,1,M,100,A,R,-122.42252641,37.7835664,"995 Ellis St, San Francisco, CA, 94109",995 ELLIS ST,1351,"HUYNH, CAO",995 ELLIS ST,San Francisco,CA,94109,1351,323434,ACTIVE,21,1996/12/03,2013/11/30,Census Tract: 0160.00,COLLEGE MARKET,NA,3800,16000,1830668.36609297,644191.179601563
6761,1,M,100,A,R,-122.41051521,37.74706271,"500 Precita Ave, San Francisco, CA, 94110",500 PRECITA AVE,3067,"ALEMU, ABAI JEMERE",500 PRECITA AVE,San Francisco,CA,94110-4720,3067,325039,SUREND,21,1996/12/03,2013/11/30,Census Tract: 0251.00,RITE WAY MARKET,NA,3800,25100,1831643.76461728,640119.042913342
146,1,M,100,A,R,-122.41762784,37.75547543,"3149 22nd St, San Francisco, CA, 94110",3149 22ND ST,193,EL TREBOL BAR INC,3149 22ND ST,San Francisco,CA,94110,193,322957,ACTIVE,48,1996/12/13,2013/05/31,Census Tract: 0209.00,EL TREBOL NO 3,NA,3800,20900,1831036.11315406,641064.894118719
1952,1,M,100,A,L,-122.42021812,37.74519926,"3226 Mission St, San Francisco, CA, 94110",3226 MISSION ST,2510,"MIYAHIRA, GLADYS G",3226 MISSION ST,San Francisco,CA,94110,2510,323744,ACTIVE,41,1996/12/27,2013/11/30,Census Tract: 0253.00,MI LINDO PERU,NA,3800,25300,1830784.52735152,639928.982324275
